lace,latitude,longitude,gym
13号地公園 記念碑,35.624478,139.768529,0
植樹記念碑,35.624474,139.769411,0
Half Split Ball,35.625161,139.769581,0
潮風公園,35.625227,139.769789,0
潮風公園のダブル東屋,35.625761,139.769013,0
東京都立潮風公園案内図,35.626453,139.768795,0
ヒルトン東京お台場,35.625612,139.770116,0
揺蕩う屋根,35.625502,139.768043,0
夕陽の塔,35.625129,139.767816,1
お台場海浜公園西側の東屋,35.62681,139.769529,0
The Earth Harmony,35.626124,139.771039,0
Daiba Station,35.625882,139.771422,0
"South Gate, Daiba Station",35.625943,139.772007,0
東屋,35.627318,139.770821,0
ウエディングベル,35.626965,139.771275,0
ペンローズの三角形,35.626636,139.772037,0
美神の門”The Gate of Venus”,35.626192,139.772747,0
8 (エイト)マークオブジェ,35.626141,139.77313,0
fujitv モニュメント,35.626518,139.77321,0
"Tower, Bridge & Statue, Tokyo",35.627348,139.77223,1
自由の女神像,35.627756,139.771892,1
ラフくん像,35.626875,139.773655,0
タリーズコーヒー フジテレビ店,35.626876,139.774217,0
錨のオブジェ,35.628205,139.771369,0
トリプルアンカー,35.628134,139.771607,0
King of the Pirates,35.627564,139.77281,0
フジテレビジョン本社屋,35.62729,139.774445,1
アクアシティお台場 帆型オブジェ,35.628144,139.773397,0
アクアシティお台場神社,35.627972,139.773767,0
ポケモンスタンド アクアシティお台場,35.628152,139.774598,1
アクアシティ サンシャイン水族館,35.628408,139.773976,0
お台場海浜公園の突堤,35.629038,139.772592,0
お台場の錨,35.628768,139.773217,0
お台場海浜公園(odaiba kaihin park),35.628972,139.77366,0
そらべあ,35.628653,139.774517,1